gpu num is: 6
model original data nums:10571
add 94 points, now there are 44061 points
add 86 points, now there are 44241 points
add 92 points, now there are 44419 points
add 81 points, now there are 44592 points
add 93 points, now there are 44766 points
add 88 points, now there are 44947 points
add 91 points, now there are 45126 points
add 92 points, now there are 45309 points
add 92 points, now there are 45493 points
add 90 points, now there are 45675 points
add 94 points, now there are 45859 points
train 1900 steps, train loss: 24.029420852661133
add 94 points, now there are 46047 points
add 90 points, now there are 46231 points
add 84 points, now there are 46405 points
add 86 points, now there are 46575 points
add 91 points, now there are 46752 points
add 93 points, now there are 46936 points
add 91 points, now there are 47120 points
add 91 points, now there are 47302 points
add 94 points, now there are 47487 points
add 95 points, now there are 47676 points
add 94 points, now there are 47865 points
train 2000 steps, train loss: 23.951574325561523
add 88 points, now there are 48047 points
add 82 points, now there are 48217 points
add 87 points, now there are 48386 points
add 77 points, now there are 48550 points
add 86 points, now there are 48713 points
add 91 points, now there are 48890 points
add 91 points, now there are 49072 points
add 96 points, now there are 49259 points
add 95 points, now there are 49450 points
add 92 points, now there are 49637 points
add 91 points, now there are 49820 points
train 2100 steps, train loss: 23.874250411987305
add 85 points, now there are 49996 points
add 89 points, now there are 50170 points
add 73 points, now there are 50332 points
add 88 points, now there are 50493 points
add 89 points, now there are 50670 points
add 94 points, now there are 50853 points
add 91 points, now there are 51038 points
add 92 points, now there are 51221 points
add 91 points, now there are 51404 points
add 93 points, now there are 51588 points
add 95 points, now there are 51776 points
train 2200 steps, train loss: 23.80154037475586
add 90 points, now there are 51961 points
add 85 points, now there are 52136 points
add 77 points, now there are 52298 points
add 90 points, now there are 52465 points
add 87 points, now there are 52642 points
add 93 points, now there are 52822 points
add 91 points, now there are 53006 points
add 92 points, now there are 53189 points
add 93 points, now there are 53374 points
add 89 points, now there are 53556 points
add 92 points, now there are 53737 points
train 2300 steps, train loss: 23.72988510131836
add 95 points, now there are 53924 points
add 87 points, now there are 54106 points
add 79 points, now there are 54272 points
add 92 points, now there are 54443 points
add 93 points, now there are 54628 points
add 90 points, now there are 54811 points
add 93 points, now there are 54994 points
add 95 points, now there are 55182 points
add 91 points, now there are 55368 points
add 92 points, now there are 55551 points
add 94 points, now there are 55737 points
train 2400 steps, train loss: 23.656827926635742
add 93 points, now there are 55924 points
add 83 points, now there are 56100 points
add 76 points, now there are 56259 points
add 91 points, now there are 56426 points
add 89 points, now there are 56606 points
add 94 points, now there are 56789 points
add 90 points, now there are 56973 points
add 93 points, now there are 57156 points
add 96 points, now there are 57345 points
add 92 points, now there are 57533 points
add 94 points, now there are 57719 points
train 2500 steps, train loss: 23.582088470458984
add 94 points, now there are 57907 points
add 86 points, now there are 58087 points
add 75 points, now there are 58248 points
add 88 points, now there are 58411 points
add 92 points, now there are 58591 points
add 95 points, now there are 58778 points
add 93 points, now there are 58966 points
add 94 points, now there are 59153 points
add 93 points, now there are 59340 points
add 92 points, now there are 59525 points
add 95 points, now there are 59712 points
train 2600 steps, train loss: 23.505393981933594
add 92 points, now there are 59899 points
add 83 points, now there are 60074 points
add 72 points, now there are 60229 points
add 94 points, now there are 60395 points
add 95 points, now there are 60584 points
add 95 points, now there are 60774 points
add 93 points, now there are 60962 points
add 95 points, now there are 61150 points
add 95 points, now there are 61340 points
add 94 points, now there are 61529 points
add 94 points, now there are 61717 points
train 2700 steps, train loss: 23.426673889160156
add 94 points, now there are 61905 points
add 81 points, now there are 62080 points
add 65 points, now there are 62226 points
add 86 points, now there are 62377 points
add 95 points, now there are 62558 points
add 96 points, now there are 62749 points
add 96 points, now there are 62941 points
add 96 points, now there are 63133 points
add 93 points, now there are 63322 points
add 90 points, now there are 63505 points
add 95 points, now there are 63690 points
train 2800 steps, train loss: 23.34678077697754
add 95 points, now there are 63880 points
add 75 points, now there are 64050 points
